ALL ITERATIONS.
======================================================================================================================================================
n    K    m    It   LRC  z              S                                                                                                   CPU (s)   
======================================================================================================================================================
15   3    2    10   2    13.273240      (9.88, 9.88, 6.26) (0.3, 0.92, 4.23)                                                                0.001089  
15   3    2    10   3    13.273240      (9.88, 9.88, 6.26) (0.3, 0.92, 4.23)                                                                0.001476  
15   3    2    20   2    13.273240      (9.88, 9.88, 6.26) (0.3, 0.92, 4.23)                                                                0.002025  
15   3    2    20   3    13.273240      (9.88, 9.88, 6.26) (0.3, 0.92, 4.23)                                                                0.002709  
15   3    3    10   2    31.868526      (9.88, 9.88, 6.26) (1.71, 1.95, 9.22) (5.17, 1.39, 0.91)                                            0.001943  
15   3    3    10   3    31.868526      (9.88, 9.88, 6.26) (1.71, 1.95, 9.22) (5.17, 1.39, 0.91)                                            0.002528  
15   3    3    20   2    31.868526      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (5.17, 1.39, 0.91)                                            0.004040  
15   3    3    20   3    31.868526      (1.71, 1.95, 9.22) (5.17, 1.39, 0.91) (9.88, 9.88, 6.26)                                            0.004871  
15   3    4    10   2    59.763760      (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (1.71, 1.95, 9.22) (6.65, 9.45, 1.02)                          0.002787  
15   3    4    10   3    59.763763      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (6.65, 9.45, 1.02)                          0.004392  
15   3    4    20   2    59.763763      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (6.65, 9.45, 1.02)                          0.005857  
15   3    4    20   3    59.763763      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (6.65, 9.45, 1.02)                          0.007639  
15   3    5    10   2    96.085831      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (9.47, 3.56, 1.83) (1.15, 9.21, 3.11)       0.006523  
15   3    5    10   3    96.085838      (9.88, 9.88, 6.26) (1.71, 1.95, 9.22) (9.47, 3.56, 1.83) (1.15, 9.21, 3.11) (0.3, 0.92, 4.23)       0.008662  
15   3    5    20   2    96.085831      (1.71, 1.95, 9.22) (9.47, 3.56, 1.83) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (1.15, 9.21, 3.11)       0.013187  
15   3    5    20   3    96.085831      (9.88, 9.88, 6.26) (1.71, 1.95, 9.22) (0.3, 0.92, 4.23) (9.47, 3.56, 1.83) (1.15, 9.21, 3.11)       0.015934  
------------------------------------------------------------------------------------------------------------------------------------------------------
20   3    2    10   2    11.800310      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07)                                                               0.001261  
20   3    2    10   3    11.800310      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83)                                                               0.001727  
20   3    2    20   2    11.800310      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83)                                                               0.002793  
20   3    2    20   3    11.800310      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83)                                                               0.002911  
20   3    3    10   2    30.872660      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (8.87, 9.56, 5.34)                                            0.002578  
20   3    3    10   3    30.872660      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (8.87, 9.56, 5.34)                                            0.003217  
20   3    3    20   2    30.872660      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83) (8.87, 9.56, 5.34)                                            0.004601  
20   3    3    20   3    30.872660      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (8.87, 9.56, 5.34)                                            0.005875  
20   3    4    10   2    56.690315      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (9.6, 2.02, 9) (0.83, 7.06, 3.34)                             0.005704  
20   3    4    10   3    56.690315      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (9.6, 2.02, 9) (0.83, 7.06, 3.34)                             0.006952  
20   3    4    20   2    56.690315      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (9.6, 2.02, 9) (0.83, 7.06, 3.34)                             0.011148  
20   3    4    20   3    56.690315      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (9.6, 2.02, 9) (0.83, 7.06, 3.34)                             0.012441  
20   3    5    10   2    92.829750      (9.81, 2.05, 1.83) (9.6, 2.02, 9) (0.83, 7.06, 3.34) (8.87, 9.56, 5.34) (0.65, 3.76, 9.07)          0.009561  
20   3    5    10   3    92.829750      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (8.87, 9.56, 5.34) (0.83, 7.06, 3.34) (9.6, 2.02, 9)          0.008650  
20   3    5    20   2    92.829750      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (9.6, 2.02, 9) (0.83, 7.06, 3.34) (8.87, 9.56, 5.34)          0.016480  
20   3    5    20   3    92.829750      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (8.87, 9.56, 5.34) (9.6, 2.02, 9) (0.83, 7.06, 3.34)          0.019928  
------------------------------------------------------------------------------------------------------------------------------------------------------
30   3    2    10   2    13.073737      (8.06, 9.59, 0.27) (6.71, 0.35, 9.42)                                                               0.002130  
30   3    2    10   3    13.073737      (8.06, 9.59, 0.27) (6.71, 0.35, 9.42)                                                               0.002795  
30   3    2    20   2    13.073737      (8.06, 9.59, 0.27) (6.71, 0.35, 9.42)                                                               0.003483  
30   3    2    20   3    13.073737      (8.06, 9.59, 0.27) (6.71, 0.35, 9.42)                                                               0.004817  
30   3    3    10   2    34.290527      (8.06, 9.59, 0.27) (1.53, 8.09, 9.56) (8.32, 0.47, 8.98)                                            0.004883  
30   3    3    10   3    34.290527      (8.06, 9.59, 0.27) (1.53, 8.09, 9.56) (8.32, 0.47, 8.98)                                            0.005114  
30   3    3    20   2    34.290527      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98)                                            0.008128  
30   3    3    20   3    34.290527      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98)                                            0.010422  
30   3    4    10   2    63.701962      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (6.75, 0.07, 1.8)                          0.009769  
30   3    4    10   3    63.701958      (6.75, 0.07, 1.8) (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98)                          0.009146  
30   3    4    20   2    63.701962      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (6.75, 0.07, 1.8)                          0.018179  
30   3    4    20   3    63.701962      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (6.75, 0.07, 1.8)                          0.017598  
30   3    5    10   2    99.592033      (8.06, 9.59, 0.27) (1.53, 8.09, 9.56) (7.54, 8.93, 9.66) (6.75, 0.07, 1.8) (8.32, 0.47, 8.98)       0.016681  
30   3    5    10   3    99.592041      (1.53, 8.09, 9.56) (8.32, 0.47, 8.98) (8.06, 9.59, 0.27) (7.54, 8.93, 9.66) (6.75, 0.07, 1.8)       0.018164  
30   3    5    20   2    99.592041      (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (7.54, 8.93, 9.66) (6.75, 0.07, 1.8) (1.53, 8.09, 9.56)       0.030435  
30   3    5    20   3    99.592041      (6.75, 0.07, 1.8) (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (7.54, 8.93, 9.66) (8.32, 0.47, 8.98)       0.035575  
------------------------------------------------------------------------------------------------------------------------------------------------------
